iter	RMSE
0	332434.7463
1	312306.9687
2	294397.3114
3	279597.9139
4	265574.4895
5	252283.343
6	241344.7579
7	231045.1809
8	221968.8572
9	214289.9779
10	207386.736
11	200934.5776
12	195421.9784
13	190622.2886
14	185948.9646
15	181900.3951
16	178705.2825
17	175476.7864
18	172413.9726
19	169953.9117
20	167787.5036
21	165897.5436
22	163884.7153
23	162325.781
24	160598.4966
25	159266.6798
26	158182.387
27	156995.563
28	156221.4908
29	155106.4848
30	154208.9484
31	153466.0957
32	152570.8237
33	151829.7341
34	151091.7931
35	150488.7678
36	149977.0821
37	149240.9329
38	148694.0571
39	148213.1593
40	147603.7125
41	146893.583
42	146257.1824
43	145768.4619
44	145276.6421
45	144883.2457
46	144411.9286
47	143971.8267
48	143467.2706
49	143121.4507
50	142752.4756
51	142466.4808
52	141819.7326
53	141248.2343
54	140985.9211
55	140641.9792
56	140272.7168
57	140083.7864
58	139842.6563
59	139543.7997
60	139241.1498
61	138770.1999
62	138600.5987
63	138344.5838
64	137970.3038
65	137730.8558
66	137351.9979
67	137108.2879
68	136908.4229
69	136578.0716
70	136403.686
71	135982.5333
72	135706.3242
73	135568.1311
74	135293.6747
75	134906.5306
76	134620.3219
77	134356.2218
78	134161.6154
79	133952.5402
80	133759.1817
81	133531.3217
82	133373.172
83	133032.0065
84	132747.6264
85	132545.4526
86	132303.4502
87	132207.1111
88	132008.8994
89	131785.8907
90	131488.0591
91	131339.617
92	131020.8215
93	130833.3235
94	130453.4933
95	130296.6166
96	129996.787
97	129801.9145
98	129782.8935
99	129412.7463
100	129253.8386
101	128975.7291
102	128607.6069
103	128301.1809
104	128037.9859
105	127901.5802
106	127667.3474
107	127372.1003
108	127014.6389
109	126841.2233
110	126689.1096
111	126522.5563
112	126384.3975
113	126271.5101
114	126032.343
115	125829.7993
116	125674.4644
117	125485.9586
118	125374.6392
119	125190.2939
120	124882.9132
121	124696.662
122	124375.4077
123	124247.0001
124	124051.3217
125	123819.075
126	123500.7184
127	123281.0684
128	123103.992
129	122868.0104
130	122725.7649
131	122556.4481
132	122419.2447
133	122257.1297
134	122194.4146
135	121995.572
136	121829.2887
137	121633.8199
138	121458.9428
139	121336.204
140	121173.88
141	121049.1318
142	120953.5094
143	120782.5495
144	120664.2325
145	120460.2511
146	120332.7408
147	120151.147
148	119934.7096
149	119700.9874
150	119504.0263
151	119303.3362
152	119007.8766
153	118811.0077
154	118620.9303
155	118448.8519
156	118320.6385
157	118116.1247
158	118069.957
159	117956.973
160	117847.2612
161	117795.5373
162	117657.0791
163	117578.3425
164	117405.1527
165	117291.191
166	117199.6051
167	117026.7317
168	116880.9906
169	116755.6205
170	116693.1882
171	116524.7399
172	116413.6587
173	116346.8728
174	116159.8465
175	116035.7707
176	115829.7086
177	115678.4924
178	115544.0267
179	115422.5842
180	115329.5629
181	115216.7189
182	115168.8077
183	115019.1405
184	114856.7984
185	114709.7517
186	114659.7618
187	114566.0435
188	114477.4737
189	114373.7678
190	114307.2595
191	114072.1989
192	113990.8784
193	113887.9965
194	113744.3122
195	113630.8144
196	113609.6112
197	113466.2515
198	113342.6742
199	113167.0945
200	113009.5836
201	112895.7098
202	112696.5645
203	112512.4775
204	112424.8211
205	112317.3965
206	112147.8457
207	112047.9191
208	111928.3009
209	111820.6429
210	111694.2367
211	111537.6408
212	111454.4834
213	111314.0936
214	111226.4304
215	111127.9449
216	111022.7404
217	110853.8434
218	110780.2206
219	110689.7338
220	110516.0333
221	110333.6361
222	110239.7029
223	110160.4389
224	110013.627
225	109966.681
226	109806.6717
227	109731.8344
228	109605.9932
229	109517.9033
230	109434.5106
231	109353.6849
232	109239.5191
233	109085.5655
234	108995.7328
235	108928.4279
236	108785.5483
237	108624.9589
238	108521.9864
239	108433.4179
240	108268.081
241	108105.6337
242	107963.2717
243	107890.4857
244	107814.4869
245	107716.7798
246	107647.4065
247	107577.8064
248	107485.5645
249	107420.073
250	107269.0113
251	107173.1891
252	107016.4712
253	106894.6093
254	106799.529
255	106715.6724
256	106631.3706
257	106517.5766
258	106436.3568
259	106328.1708
260	106187.6215
261	106052.5686
262	105978.296
263	105882.6641
264	105743.7476
265	105660.5568
266	105597.6165
267	105539.6243
268	105437.1776
269	105304.2518
270	105192.7438
271	105109.2032
272	105030.1407
273	104964.2941
274	104855.9451
275	104790.4574
