iter	Passed	Remaining
0	20	10105
1	33	8360
2	42	6962
3	51	6337
4	59	5847
5	67	5565
6	76	5352
7	84	5168
8	92	5024
9	101	4959
10	109	4865
11	118	4813
12	126	4724
13	134	4654
14	141	4584
15	150	4538
16	157	4486
17	165	4442
18	173	4400
19	181	4361
20	189	4331
21	198	4306
22	206	4288
23	215	4266
24	222	4236
25	231	4214
26	238	4179
27	246	4152
28	254	4126
29	261	4094
30	270	4085
31	279	4087
32	287	4071
33	295	4050
34	303	4033
35	311	4011
36	319	3992
37	326	3974
38	334	3951
39	341	3929
40	349	3917
41	357	3896
42	365	3886
43	374	3878
44	382	3863
45	389	3847
46	397	3834
47	405	3820
48	413	3810
49	421	3797
50	429	3785
51	437	3771
52	445	3759
53	453	3748
54	461	3736
55	469	3722
56	477	3707
57	484	3694
58	492	3682
59	501	3674
60	508	3661
61	516	3651
62	524	3638
63	532	3627
64	540	3615
65	548	3606
66	556	3596
67	564	3584
68	572	3574
69	580	3564
70	587	3552
71	596	3545
72	604	3534
73	612	3524
74	620	3514
75	628	3504
76	635	3492
77	644	3485
78	651	3473
79	659	3462
80	667	3451
81	675	3441
82	683	3434
83	691	3425
84	700	3418
85	707	3407
86	715	3398
87	723	3388
88	731	3378
89	739	3369
90	747	3360
91	755	3352
92	763	3342
93	771	3332
94	779	3323
95	787	3313
96	795	3305
97	803	3295
98	807	3269
99	815	3260
100	823	3252
101	831	3245
102	839	3237
103	847	3228
104	856	3220
105	863	3210
106	871	3201
107	879	3193
108	887	3184
109	895	3175
110	903	3165
111	911	3157
112	919	3148
113	926	3138
114	935	3130
115	943	3123
116	951	3113
117	959	3105
118	967	3097
119	975	3089
120	983	3080
121	991	3070
122	999	3062
123	1007	3054
124	1014	3044
125	1022	3035
126	1029	3025
127	1037	3016
128	1045	3007
129	1053	2998
130	1061	2989
131	1069	2980
132	1077	2971
133	1084	2963
134	1093	2955
135	1100	2946
136	1109	2939
137	1122	2943
138	1140	2962
139	1157	2975
140	1167	2971
141	1175	2963
142	1183	2953
143	1191	2944
144	1199	2935
145	1207	2927
146	1214	2917
147	1223	2909
148	1231	2902
149	1240	2894
150	1248	2885
151	1256	2877
152	1264	2868
153	1282	2880
154	1290	2873
155	1298	2864
156	1307	2856
157	1315	2846
158	1322	2836
159	1330	2826
160	1338	2817
161	1345	2807
162	1353	2798
163	1361	2788
164	1369	2779
165	1377	2771
166	1385	2762
167	1393	2753
168	1401	2744
169	1409	2735
170	1416	2725
171	1424	2716
172	1432	2707
173	1439	2697
174	1447	2687
175	1455	2679
176	1463	2669
177	1472	2663
178	1481	2656
179	1489	2648
180	1497	2639
181	1505	2631
182	1513	2622
183	1522	2613
184	1530	2606
185	1538	2597
186	1546	2587
187	1554	2580
188	1562	2571
189	1570	2562
190	1578	2553
191	1586	2545
192	1594	2537
193	1603	2529
194	1611	2521
195	1620	2513
196	1628	2504
197	1636	2495
198	1644	2487
199	1652	2478
200	1660	2470
201	1668	2461
202	1677	2453
203	1686	2446
204	1694	2438
205	1702	2430
206	1710	2421
207	1718	2412
208	1726	2404
209	1734	2395
210	1742	2386
211	1750	2378
212	1758	2369
213	1766	2360
214	1774	2352
215	1782	2343
216	1790	2334
217	1798	2326
218	1806	2318
219	1815	2310
220	1823	2302
221	1831	2293
222	1839	2284
223	1847	2275
224	1854	2267
225	1857	2252
226	1866	2244
227	1873	2234
228	1881	2226
229	1889	2217
230	1897	2209
231	1905	2200
232	1912	2191
233	1920	2183
234	1929	2175
235	1937	2166
236	1944	2158
237	1952	2149
238	1960	2141
239	1968	2132
240	1976	2123
241	1984	2115
242	1991	2106
243	2000	2098
244	2008	2090
245	2016	2081
246	2024	2073
247	2031	2064
248	2039	2056
249	2047	2047
250	2055	2039
251	2063	2031
252	2071	2022
253	2080	2014
254	2087	2005
255	2096	1997
256	2104	1989
257	2113	1982
258	2121	1973
259	2129	1965
260	2137	1957
261	2145	1948
262	2153	1940
263	2161	1932
264	2169	1923
265	2177	1915
266	2185	1907
267	2193	1898
268	2200	1889
269	2209	1882
270	2217	1873
271	2225	1865
272	2233	1856
273	2240	1848
274	2248	1840
275	2256	1831
276	2264	1823
277	2272	1814
278	2280	1806
279	2287	1797
280	2296	1789
281	2303	1780
282	2312	1773
283	2320	1764
284	2328	1756
285	2336	1748
286	2344	1739
287	2352	1731
288	2360	1723
289	2367	1714
290	2375	1706
291	2384	1698
292	2392	1690
293	2400	1682
294	2409	1674
295	2417	1666
296	2425	1657
297	2433	1649
298	2441	1640
299	2448	1632
300	2456	1623
301	2463	1615
302	2471	1606
303	2479	1598
304	2487	1590
305	2495	1582
306	2503	1573
307	2511	1565
308	2519	1557
309	2527	1548
310	2534	1540
311	2543	1532
312	2551	1524
313	2559	1515
314	2566	1507
315	2574	1499
316	2582	1490
317	2590	1482
318	2600	1475
319	2610	1468
320	2618	1460
321	2630	1453
322	2639	1446
323	2648	1438
324	2657	1431
325	2666	1423
326	2677	1416
327	2688	1409
328	2697	1401
329	2706	1394
330	2715	1386
331	2724	1378
332	2732	1370
333	2742	1363
334	2751	1355
335	2760	1347
336	2770	1339
337	2778	1331
338	2787	1323
339	2795	1315
340	2805	1308
341	2813	1299
342	2822	1292
343	2831	1283
344	2840	1276
345	2849	1268
346	2858	1260
347	2866	1251
348	2876	1244
349	2884	1236
350	2893	1228
351	2902	1220
352	2910	1212
353	2919	1204
354	2927	1195
355	2936	1187
356	2944	1179
357	2954	1171
358	2962	1163
359	2971	1155
360	2980	1147
361	2989	1139
362	2998	1131
